name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,25,53.0,POINT (-0.132053392 51.51858757),832,833,E01000850,Camden 026A,19686,6,504726.595603943,5338.76699427144,E01000850,Camden 026A,2418,0.2,12381
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,19,45.0,POINT (-0.123509611 51.5262503),919,920,E01000937,Camden 025B,19616,6,327501.697563171,3413.81339073449,E01000937,Camden 025B,2479,0.13,19753
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,27,23.0,POINT (-0.139174593 51.53301907),929,930,E01000947,Camden 021C,10959,4,403509.658241272,4354.94516476811,E01000947,Camden 021C,2358,0.16,15115
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,20,26.0,POINT (-0.111014912 51.49368637),3738,3739,E01003015,Lambeth 002A,9771,3,242515.310958862,2412.0126932048,E01003015,Lambeth 002A,1688,0.1,17675
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,41,30.0,POINT (-0.100440521 51.49889832),4634,4635,E01003932,Southwark 034B,4581,2,316960.516685486,3477.88009218226,E01003932,Southwark 034B,1555,0.12,12715
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,37,45.0,POINT (-0.109025404 51.53440868),1638,1639,E01002694,Islington 019A,3487,2,188801.38772583,2497.41405030977,E01002694,Islington 019A,1613,0.07,22945
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,28,70.0,POINT (-0.08581448899999999 51.49506109),4643,4644,E01003941,Southwark 006C,15923,5,247336.083534241,2647.0638231636,E01003941,Southwark 006C,2122,0.09,22671
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,15,45.0,POINT (-0.09734016199999999 51.5208417),0,1,E01000001,City of London 001A,29199,9,343894.195701599,3682.36705493404,E01000001,City of London 001A,1749,0.13,13475
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,26,36.0,POINT (-0.078505384 51.53095071),31782,31783,E01033706,Hackney 027F,6887,3,344024.600292206,5097.16981129396,E01033706,Hackney 027F,1800,0.14,13333
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,18,32.0,POINT (-0.183834706 51.49792478),1830,1831,E01002890,Kensington and Chelsea 010C,25832,8,404565.110527039,3689.48680027748,E01002890,Kensington and Chelsea 010C,1731,0.16,11047
