name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,246.0,Paddington_diatance,1753.0,Kensington Gardens Palace Gate_diatance,20.0,Cadogan Pier_diatance,2474.0,7318.0
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,70.0,Paddington_diatance,2579.0,Kensington Gardens Queen Gate_diatance,846.0,Cadogan Pier_diatance,1693.0,11055.0
"Sun Street, Liverpool Street",408,51.520009,-0.083935724,2.0,Liverpool Street_diatance,219.0,Lincoln's Inn Fields South_distance,2284.0,London Bridge City Pier_diatance,1455.0,6784.0
"Strata, Elephant & Castle",409,51.493146,-0.099828,106.0,Waterloo East_diatance,1410.0,Geraldine Mary Harmsworth Park East_diatance,537.0,Millbank Millennium Pier_diatance,1728.0,46000.0
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,95.0,Marylebone_diatance,584.0,Hyde Park Victoria Gate_diatance,917.0,Embankment Pier_diatance,3650.0,19375.0
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029,190.0,Fenchurch Street_diatance,2065.0,Mile End Park Football Pitch_diatance,2596.0,Tower Bridge Quay_diatance,1438.0,13318.0
"Cleaver Street, Kennington",412,51.488105,-0.110121,23.0,Vauxhall_diatance,918.0,Geraldine Mary Harmsworth Park West_diatance,831.0,Millbank Millennium Pier_diatance,1089.0,17983.0
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004,48.0,Victoria_diatance,1233.0,Battersea Park Sopwith Way_diatance,490.0,Battersea Power Station Pier_diatance,299.0,22133.0
"Southwark Station 1, Southwark",420,51.504043,-0.105312,25.0,Waterloo East_diatance,331.0,Geraldine Mary Harmsworth Park North_diatance,798.0,Bankside Pier_diatance,790.0,11382.0
"Southwark Station 2, Southwark",421,51.504044,-0.104778,17.0,Waterloo East_diatance,368.0,Geraldine Mary Harmsworth Park North_diatance,809.0,Bankside Pier_diatance,762.0,11382.0
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398,42.0,Victoria_diatance,672.0,Hyde Park White Horse Gate_diatance,907.0,Battersea Power Station Pier_diatance,1306.0,10254.0
"Ebury Bridge, Pimlico",424,51.490491,-0.149186,43.0,Victoria_diatance,744.0,Battersea Park Sopwith Way_diatance,1009.0,Battersea Power Station Pier_diatance,764.0,13181.0
"Vincent Street, Pimlico",426,51.493072,-0.129925,39.0,Vauxhall_diatance,934.0,St. James's Park Queen Anne's Gate_distance,914.0,Millbank Millennium Pier_diatance,390.0,40866.0
"Cheapside, Bank",427,51.51397065,-0.09294031,51.0,Cannon Street_diatance,447.0,Lincoln's Inn Fields South_distance,1619.0,Bankside Pier_diatance,637.0,1021.0
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554,139.0,Paddington_diatance,1918.0,Hyde Park Alexandra Gate_diatance,218.0,Cadogan Pier_diatance,1982.0,4109.0
"South Parade, Chelsea",430,51.48902,-0.17524,22.0,Victoria_diatance,2270.0,Battersea Park Albert Gate_diatance,1258.0,Cadogan Pier_diatance,922.0,10752.0
"Crinan Street, King's Cross",431,51.534474,-0.122203,20.0,Kings Cross_diatance,243.0,The Regent's Park Chester Gate_distance,1808.0,Blackfriars Pier_diatance,3033.0,18269.0
"Exhibition Road Museums 1, South Kensington",432,51.496468,-0.17379696,27.0,Victoria_diatance,2007.0,Hyde Park Alexandra Gate_diatance,604.0,Cadogan Pier_diatance,1601.0,8106.0
"Wren Street, Holborn",433,51.524564,-0.116279,65.0,Kings Cross_diatance,998.0,Lincoln's Inn Fields West_distance,966.0,Blackfriars Pier_diatance,1879.0,23525.0
"Kennington Station, Kennington",435,51.488852,-0.105593,32.0,Vauxhall_diatance,1242.0,Geraldine Mary Harmsworth Park East_diatance,799.0,Millbank Millennium Pier_diatance,1362.0,19750.0
"Red Lion Street, Holborn",436,51.51824,-0.11655,33.0,Blackfriars_diatance,1193.0,Lincoln's Inn Fields West_distance,274.0,Festival Pier_diatance,1253.0,5611.0
"Vauxhall Walk, Vauxhall",437,51.488124,-0.120903,94.0,Vauxhall_diatance,283.0,Geraldine Mary Harmsworth Park West_diatance,1086.0,St. George Wharf_diatance,484.0,11597.0
"Killick Street, King's Cross",439,51.5338,-0.118677,24.0,Kings Cross_diatance,356.0,Lincoln's Inn Fields West_distance,1987.0,Blackfriars Pier_diatance,2855.0,12099.0
